Company_id,Name,Industry,Employees_count,Linkedin_followers
CID-1,2COMS Consulting Pvt. Ltd., Human Resources Services,10001,"40,880"
CID-2,AB InBev India, Manufacturing,10001,No_Data
CID-3,AboitizPower Coal BU, IT Services and IT Consulting,5000,No_Data
CID-4,Accenture in India, IT Services and IT Consulting,10001,"13,98,001"
CID-5,AdTech Holding, IT Services and IT Consulting,201,No_Data
CID-6,AirAsia, Airlines and Aviation,10001,"6,54,134"
CID-7,Airport Authority Of India, Aviation and Aerospace Component Manufacturing,5001,"14,446"
CID-8,airtel, Telecommunications,10001,"9,06,367"
CID-9,Alstom, Rail Transportation,10001,"10,23,893"
CID-10,Amazon," Technology, Information and Internet",10001,"2,75,30,986"
CID-11,AMD, Semiconductor Manufacturing,10001,"9,31,958"
CID-12,American Express, Financial Services,10001,"17,01,422"
CID-13,Antal International, Staffing and Recruiting,1500,No_Data
CID-14,ANZ, Banking,10001,No_Data
CID-15,AppDeft, IT Services and IT Consulting,50,No_Data
CID-16,Applicantz," Technology, Information and Internet",51,No_Data
CID-17,Applied Materials, Semiconductor Manufacturing,10001,"3,25,023"
CID-18,Armorblox, Software Development,51,No_Data
CID-19,Audi Mumbai West, Motor Vehicle Manufacturing,200,No_Data
CID-20,Bain & Company, IT Services and IT Consulting,10001,"14,85,122"
CID-21,Bandhan Bank, Banking,10001,"3,93,298"
CID-22,Barclays, Financial Services,10001,"12,50,343"
CID-23,Barclays Corporate & Investment Bank, Financial Services,10001,"7,06,877"
CID-24,BASF, Chemical Manufacturing,10001,"18,61,071"
CID-25,Bayer, Chemical Manufacturing,10001,"45,08,113"
CID-26,BD, Medical Equipment Manufacturing,10001,"7,04,233"
CID-27,Bennett Coleman and Co. Ltd. (Times Group), Newspaper Publishing,5001,"2,20,320"
CID-28,BharatPe, Financial Services,201,"1,03,678"
CID-29,Binks, Retail Apparel and Fashion,10,"3,247"
CID-30,BluSmart," Technology, Information and Media",51,"85,467"
CID-31,BookMyShow, Entertainment Providers,1001,"83,646"
CID-32,Bosch Global Software Technologies, IT Services and IT Consulting,10001,"7,91,332"
CID-33,Bread Financial, Financial Services,5001,"69,776"
CID-34,Brunel, Staffing and Recruiting,10001,"4,67,898"
CID-35,Bunge Alimentos, Food and Beverage Manufacturing,5001,"3,325"
CID-36,Bungee Tech, Software Development,11,"17,584"
CID-37,Buoyancy Consultants, Shipbuilding,51,"4,640"
CID-38,Burger Singh, Restaurants,51,"4,433"
CID-39,Capgemini, IT Services and IT Consulting,10001,No_Data
CID-40,Capita, IT Services and IT Consulting,10001,"2,75,672"
CID-41,CarDekho, Internet Publishing,1001,"80,819"
CID-42,Casa Dos Uniformes, Textile Manufacturing,51,14
CID-43,Caterpillar Inc., Machinery Manufacturing,10001,"14,55,550"
CID-44,CavinKare, Manufacturing,501,No_Data
CID-45,Chubb, Insurance,10001,"6,15,036"
CID-46,Cipla, Pharmaceutical Manufacturing,10001,No_Data
CID-47,CITGO, Oil and Gas,1001,"53,903"
CID-48,CloudMoyo, IT Services and IT Consulting,501,"64,766"
CID-49,Colgate-Palmolive, Manufacturing,10001,"19,74,971"
CID-50,Collins Aerospace, Aviation and Aerospace Component Manufacturing,10001,"4,99,034"
CID-51,Costa Rica Malhas, Textile Manufacturing,1001,"5,659"
CID-52,CPP Investments | Investissements RPC, Investment Management,1001,"2,11,627"
