Job_id,Company_id,Location,Designation,Details_id
JID-1,CID-1,Hyderabad,Customer Support Semi Voice - Hyderabad,DID-221
JID-2,CID-1,Kolkata,Virtual Assistant(Freelance),DID-322
JID-3,CID-2,Mumbai,Trade Marketing Manager - Adjacencies,DID-123
JID-4,CID-3,Baddi,Online work for freshers,DID-123
JID-5,CID-4,Chennai,IBM Cognos TM1 Application Lead,DID-124
JID-6,CID-4,Bangalore,Microservices and Light Weight Architecture Application Developer,DID-123
JID-7,CID-4,Gurgaon,New Associate-Creative Services,DID-123
JID-8,CID-4,Gurgaon,New Associate-Procurement management,DID-123
JID-9,CID-4,Mumbai,Senior Analyst-Reporting,DID-125
JID-10,CID-4,Chennai,Spring Boot Application Developer,DID-123
JID-11,CID-5,Bangalore,Data Analyst,DID-123
JID-12,CID-6,Delhi,Marketing Manager,DID-123
JID-13,CID-7,New Delhi,Ground Staff,DID-426
JID-14,CID-8,Gurgaon,Campaign Manager - Growth Marketing,DID-423
JID-15,CID-9,Bangalore,Procurement Manager,DID-427
JID-16,CID-10,Mumbai,Digital Marketing Manager,DID-123
JID-17,CID-10,Bangalore,Front End Engineer,DID-123
JID-18,CID-10,Bangalore,Front End Engineer I,DID-123
JID-19,CID-10,Bangalore,"Front End Engineer, Selection Monitoring",DID-523
JID-20,CID-11,Hyderabad,Sr. Software Development Engineer(180573),DID-128
JID-21,CID-12,Bangalore,Analyst-Data Science,DID-123
JID-22,CID-12,Gurgaon,Assistant Manager - Marketing,DID-129
JID-23,CID-13,Bangalore,UI Developer,DID-123
JID-24,CID-14,Bangalore,Data Analyst,DID-123
JID-25,CID-15,Sahibzada Ajit Singh Nagar,Junior Business Analyst,DID-223
JID-26,CID-16,Bangalore,Data Analyst,DID-123
JID-27,CID-17,Bangalore,Manufacturing Engineer,DID-124
JID-28,CID-18,Bangalore,Jr. Data Analyst,DID-123
JID-29,CID-19,Mumbai,Digital Marketing Internship in Mumbai at Audi Mumbai West,DID-123
JID-30,CID-19,Mumbai,Marketing Internship in Mumbai at Audi Mumbai West,DID-123
JID-31,CID-20,Gurgaon,Goa Institute Of Management - Summer Associate (Batch of 2024),DID-1210
JID-32,CID-20,Gurgaon,Marketing Manager,DID-1211
JID-33,CID-20,Gurgaon,Summer Associate-IIM Shillong [PGDM Batch 2024],DID-1212
JID-34,CID-20,Gurgaon,Summer Associate-IIM Visakhapatnam [PGDM Batch 2024],DID-2211
JID-35,CID-21,Raniganj,Bandhan Bank Back office executive Jobs - Kolkata,DID-1213
JID-36,CID-21,Raniganj,Bandhan Bank Hiring for Accounts Opening Department,DID-1214
JID-37,CID-21,Kolkata,RECRUITMENT BANDHAN BANK LIMITED,DID-1215
JID-38,CID-22,Pune,Business Analyst,DID-1216
JID-39,CID-23,Bangalore,Private Banking Executive,DID-1211
JID-40,CID-24,Navi Mumbai,Chemical Engineer - Trainee/Intern,DID-123
JID-41,CID-25,Bangalore,Project Manager,DID-1217
JID-42,CID-26,Gurgaon,"Sr. Manager, Facilities and Administration",DID-123
JID-43,CID-27,Nagpur,Electrical Maintenance Engineer,DID-1218
JID-44,CID-28,Gurgaon,Manager - Growth,DID-1219
JID-45,CID-29,Bangalore,Junior Content Writer,DID-1220
JID-46,CID-30,Gurgaon,Sr. Executive Operations -Public Charging,DID-1221
